application,source_ip,source_hostname,destination_ip,destination_hostname,port,protocol,bytes_in,bytes_out,timestamp,behavior,info,archetype
XECHK,10.164.77.211,,10.164.105.111,,,ICMP,1283582,3653330,2025-09-17T14:18:02.599673,Network,ICMP,3-Tier
XECHK,10.164.144.188,,10.164.206.167,,,HTTPS,4056071,3899843,2025-09-17T14:18:02.599673,Network,HTTPS,Web + API Headless
XECHK,2001:0db8:03ae:2459:1e24:7537:a505:896b,,2001:0db8:a92d:2447:79db:8e94:2c5f:7db1,,,TLS,2045874,3898457,2025-09-17T14:18:02.599673,Network,TLS,3-Tier
XECHK,10.164.217.87,,10.164.54.84,,,TLS,2167417,2855169,2025-09-17T14:18:02.599673,Network,TLS,3-Tier
XECHK,10.164.145.226,,10.164.2.226,,,HTTPS,718373,2024841,2025-09-17T14:18:02.599673,Network,HTTPS,Web + API Headless
XECHK,2001:0db8:36cd:4f96:8b71:9042:fa26:d017,,2001:0db8:683d:8728:fa20:8092:f3c2:7b0b,,,ICMP,4117507,3759760,2025-09-17T14:18:02.599673,Network,ICMP,3-Tier
XECHK,10.164.103.24,,10.100.169.178,,,HTTPS,3970196,4643067,2025-09-17T14:18:02.599673,Network,HTTPS,Web + API Headless
XECHK,10.165.116.89,,10.164.106.191,,,TLS,3806491,2272811,2025-09-17T14:18:02.599673,Network,TLS,3-Tier
XECHK,2001:0db8:9645:de99:50fa:e84e:7609:80b7,,2001:0db8:5b78:367b:98cd:65d7:629a:3dc6,,,TLS,4495352,1553349,2025-09-17T14:18:02.599673,Network,TLS,3-Tier
XECHK,10.164.145.56,,10.164.105.71,,,HTTPS,2374165,843474,2025-09-17T14:18:02.599673,Network,HTTPS,Web + API Headless
XECHK,10.164.45.76,,10.164.136.78,,,UDP,382013,457597,2025-09-17T14:18:02.599673,Network,UDP,3-Tier
XECHK,2001:0db8:5526:d015:f8a5:f674:40a7:9592,,2001:0db8:1e05:544b:c208:011a:3486:fb54,,,TCP,2385411,3937786,2025-09-17T14:18:02.599673,Network,TCP,3-Tier
XECHK,10.165.116.113,,10.164.240.248,,,HTTP,548340,3361577,2025-09-17T14:18:02.599673,Network,HTTP,Web + API Headless
XECHK,10.165.116.19,,10.164.38.176,,,HTTPS,714749,2082176,2025-09-17T14:18:02.599673,Network,HTTPS,Web + API Headless
XECHK,2001:0db8:eb39:3fe9:c1cf:2858:738d:d514,,2001:0db8:6273:239c:1776:74af:e6a9:c2c0,,,HTTP,4937106,3597485,2025-09-17T14:18:02.600673,Network,HTTP,Web + API Headless
XECHK,10.164.145.146,,10.164.105.157,,,TCP,1743251,1770407,2025-09-17T14:18:02.600673,Network,TCP,3-Tier
XECHK,10.164.61.170,,10.164.105.45,,,UDP,3427093,3779298,2025-09-17T14:18:02.600673,Network,UDP,3-Tier
XECHK,2001:0db8:7d12:bd32:91e9:50c4:951f:f098,,2001:0db8:0401:9948:3509:44c1:7684:10b6,,,TLS,2371813,3808890,2025-09-17T14:18:02.600673,Network,TLS,3-Tier
XECHK,10.164.67.176,,10.164.104.202,,,HTTPS,1659627,3566524,2025-09-17T14:18:02.600673,Network,HTTPS,Web + API Headless
XECHK,10.164.38.140,,10.164.36.233,,,TCP,1392061,2580634,2025-09-17T14:18:02.600673,Network,TCP,3-Tier
XECHK,2001:0db8:19ac:f41d:509b:1d1f:e0d8:93c4,,2001:0db8:2315:22cb:786c:cebb:eff9:3fab,,,ICMP,3376686,2283966,2025-09-17T14:18:02.600673,Network,ICMP,3-Tier
XECHK,10.165.116.139,,10.164.106.21,,,HTTP,2704029,2100438,2025-09-17T14:18:02.600673,Network,HTTP,Web + API Headless
XECHK,10.164.172.24,,10.100.160.215,,,HTTPS,2261022,4834110,2025-09-17T14:18:02.600673,Network,HTTPS,Web + API Headless
XECHK,2001:0db8:6ff1:771f:0d96:65ce:f0e5:59b2,,2001:0db8:e5fe:8e6f:0353:51be:8e6a:e26b,,,UDP,3656668,4125094,2025-09-17T14:18:02.600673,Network,UDP,3-Tier
XECHK,10.164.116.121,,10.164.104.86,,,TCP,2766793,3453329,2025-09-17T14:18:02.600673,Network,TCP,3-Tier
XECHK,10.165.116.74,,10.164.106.103,,,HTTPS,3815556,738899,2025-09-17T14:18:02.600673,Network,HTTPS,Web + API Headless
XECHK,2001:0db8:52b6:004a:a5f7:fa2a:a584:813a,,2001:0db8:b9d8:9d72:7a99:1da8:cef0:3b5a,,,HTTPS,4551804,3875538,2025-09-17T14:18:02.600673,Network,HTTPS,Web + API Headless
XECHK,10.164.92.14,,10.164.105.160,,,ICMP,433150,1707770,2025-09-17T14:18:02.600673,Network,ICMP,3-Tier
XECHK,10.164.73.141,,10.164.105.113,,,HTTP,242374,2007572,2025-09-17T14:18:02.600673,Network,HTTP,Web + API Headless
XECHK,2001:0db8:7d12:bd32:91e9:50c4:9f1a:5116,,2001:0db8:0401:9948:3509:44c1:d0e4:700,,,TCP,951980,3871105,2025-09-17T14:18:02.600673,Network,TCP,3-Tier
XECHK,10.164.144.166,,10.164.105.128,,,TLS,2293854,3485585,2025-09-17T14:18:02.600673,Network,TLS,3-Tier
XECHK,10.165.116.251,,10.164.106.117,,,HTTP,4263633,1145314,2025-09-17T14:18:02.600673,Network,HTTP,Web + API Headless
XECHK,2001:0db8:8e45:4f9b:6e3d:ac56:d473:8d70,,2001:0db8:c285:3184:b7cc:b01a:88ca:ae04,,,TCP,2504667,4923790,2025-09-17T14:18:02.600673,Network,TCP,3-Tier
XECHK,10.165.137.222,,10.164.106.124,,,HTTPS,4558821,3164467,2025-09-17T14:18:02.600673,Network,HTTPS,Web + API Headless
XECHK,10.164.77.239,,10.164.105.49,,,UDP,3212792,1959463,2025-09-17T14:18:02.600673,Network,UDP,3-Tier
XECHK,2001:0db8:d8de:8da9:1692:01d0:1658:d251,,2001:0db8:861f:52ba:e238:daf9:f229:a2e8,,,ICMP,3198198,3238863,2025-09-17T14:18:02.600673,Network,ICMP,3-Tier
XECHK,10.164.144.127,,10.164.105.33,,,HTTPS,842119,3693756,2025-09-17T14:18:02.600673,Network,HTTPS,Web + API Headless
XECHK,10.164.144.135,,10.164.105.4,,,HTTP,1295075,627904,2025-09-17T14:18:02.600673,Network,HTTP,Web + API Headless
XECHK,2001:0db8:ef1d:1bbc:3263:1f08:ad57:87b1,,2001:0db8:37f2:7f4f:6218:6163:291f:cb82,,,TLS,4476548,3187949,2025-09-17T14:18:02.600673,Network,TLS,3-Tier
XECHK,10.164.145.161,,10.164.105.195,,,HTTPS,574154,1969595,2025-09-17T14:18:02.601680,Network,HTTPS,Web + API Headless
XECHK,10.164.145.59,,10.164.105.112,,,ICMP,843315,3722045,2025-09-17T14:18:02.601680,Network,ICMP,3-Tier
XECHK,2001:0db8:579f:7d57:53a9:ecad:ed2:9953,,2001:0db8:7071:a608:1ca3:7545:a614:178c,,,TCP,3007208,3144594,2025-09-17T14:18:02.601680,Network,TCP,3-Tier
XECHK,10.164.105.38,,10.164.105.145,,,UDP,1468788,662634,2025-09-17T14:18:02.601680,Network,UDP,3-Tier
XECHK,10.164.145.159,,10.164.105.128,,,UDP,3868605,2130716,2025-09-17T14:18:02.601680,Network,UDP,3-Tier
XECHK,2001:0db8:43be:f201:7c6a:f229:4cf:82ba,,2001:0db8:304b:31a0:dcb2:b566:9344:ee35,,,ICMP,1325395,619798,2025-09-17T14:18:02.601680,Network,ICMP,3-Tier
XECHK,10.164.77.242,,10.164.246.151,,,HTTP,2098175,3832416,2025-09-17T14:18:02.601680,Network,HTTP,Web + API Headless
XECHK,10.164.145.51,,10.164.105.219,,,UDP,4797835,3011367,2025-09-17T14:18:02.601680,Network,UDP,3-Tier
XECHK,2001:0db8:e8f6:920c:d894:f92c:9728:977c,,2001:0db8:97ea:6f76:1df1:1f35:caa7:b3b,,,TLS,4747556,411612,2025-09-17T14:18:02.601680,Network,TLS,3-Tier
XECHK,10.165.116.214,,10.164.106.74,,,UDP,2955682,1837343,2025-09-17T14:18:02.601680,Network,UDP,3-Tier
XECHK,10.164.193.159,,10.164.105.185,,,ICMP,815270,330900,2025-09-17T14:18:02.601680,Network,ICMP,3-Tier
XECHK,2001:0db8:9645:de99:50fa:e84e:1115:e1b3,,2001:0db8:5b78:367b:98cd:65d7:4348:bacf,,,TCP,2740918,3485692,2025-09-17T14:18:02.601680,Network,TCP,3-Tier
XECHK,10.164.138.52,,10.164.105.225,,,HTTPS,2286325,1380498,2025-09-17T14:18:02.601680,Network,HTTPS,Web + API Headless
XECHK,10.164.145.234,,10.164.105.124,,,TLS,2841549,966313,2025-09-17T14:18:02.601680,Network,TLS,3-Tier
XECHK,2001:0db8:43be:f201:7c6a:f229:4811:268d,,2001:0db8:304b:31a0:dcb2:b566:cb79:7383,,,HTTPS,757715,3310131,2025-09-17T14:18:02.601680,Network,HTTPS,Web + API Headless
XECHK,10.164.105.68,,10.100.160.117,,,ICMP,2199369,4903845,2025-09-17T14:18:02.601680,Network,ICMP,3-Tier
XECHK,10.164.145.211,,10.164.59.96,,,HTTP,4709626,2751716,2025-09-17T14:18:02.601680,Network,HTTP,Web + API Headless
XECHK,2001:0db8:19ac:f41d:509b:1d1f:205d:7157,,2001:0db8:2315:22cb:786c:cebb:9ab8:edb4,,,ICMP,978948,1172734,2025-09-17T14:18:02.601680,Network,ICMP,3-Tier
XECHK,10.164.254.243,,10.164.60.127,,,HTTPS,3260397,3805639,2025-09-17T14:18:02.601680,Network,HTTPS,Web + API Headless
XECHK,10.164.145.172,,10.164.105.179,,,HTTP,1296432,3480503,2025-09-17T14:18:02.601680,Network,HTTP,Web + API Headless
XECHK,2001:0db8:1459:29f9:d6a4:a1fb:fa8b:32b2,,2001:0db8:a0dc:7a35:87fe:caa4:8f3a:d0f4,,,TCP,3108430,1822790,2025-09-17T14:18:02.601680,Network,TCP,3-Tier
XECHK,10.164.77.114,,10.164.105.219,,,ICMP,4567510,3008974,2025-09-17T14:18:02.601680,Network,ICMP,3-Tier
XECHK,10.164.247.102,,10.164.104.32,,,HTTP,1779472,179359,2025-09-17T14:18:02.601680,Network,HTTP,Web + API Headless
XECHK,2001:0db8:6ff1:771f:0d96:65ce:7cb5:aac1,,2001:0db8:e5fe:8e6f:0353:51be:6910:4079,,,TCP,4649231,1737961,2025-09-17T14:18:02.601680,Network,TCP,3-Tier
XECHK,10.164.145.209,,10.164.105.85,,,HTTPS,2326149,1213930,2025-09-17T14:18:02.601680,Network,HTTPS,Web + API Headless
XECHK,10.164.44.139,,10.164.105.29,,,TCP,124857,3005354,2025-09-17T14:18:02.602676,Network,TCP,3-Tier
XECHK,2001:0db8:7e45:8686:db5b:cc7e:814:a5c5,,2001:0db8:46d3:fcae:2e8b:181f:87de:5936,,,TCP,3531473,4413325,2025-09-17T14:18:02.602676,Network,TCP,3-Tier
XECHK,10.164.114.191,,10.164.105.200,,,HTTPS,3791896,4226705,2025-09-17T14:18:02.602676,Network,HTTPS,Web + API Headless
XECHK,10.164.145.243,,10.164.105.187,,,ICMP,2530458,3842539,2025-09-17T14:18:02.602676,Network,ICMP,3-Tier
XECHK,2001:0db8:1459:29f9:d6a4:a1fb:1f24:ff2,,2001:0db8:a0dc:7a35:87fe:caa4:cda0:f53d,,,HTTP,905849,4112873,2025-09-17T14:18:02.602676,Network,HTTP,Web + API Headless
XECHK,10.164.77.19,,10.164.105.83,,,TCP,2307201,4910594,2025-09-17T14:18:02.602676,Network,TCP,3-Tier
XECHK,10.164.145.98,,10.164.129.136,,,HTTPS,832169,959974,2025-09-17T14:18:02.602676,Network,HTTPS,Web + API Headless
XECHK,2001:0db8:1459:29f9:d6a4:a1fb:dc32:6e17,,2001:0db8:a0dc:7a35:87fe:caa4:74fd:e732,,,HTTP,3804424,3344991,2025-09-17T14:18:02.602676,Network,HTTP,Web + API Headless
XECHK,10.164.109.187,,10.164.105.81,,,TLS,3978647,563355,2025-09-17T14:18:02.602676,Network,TLS,3-Tier
XECHK,10.164.110.213,,10.164.104.25,,,TLS,1091687,4667376,2025-09-17T14:18:02.602676,Network,TLS,3-Tier
XECHK,2001:0db8:6ff1:771f:0d96:65ce:3e95:a8c7,,2001:0db8:e5fe:8e6f:0353:51be:b50a:d255,,,ICMP,3548051,431760,2025-09-17T14:18:02.602676,Network,ICMP,3-Tier
XECHK,10.164.145.154,,10.164.105.27,,,UDP,4045097,1881302,2025-09-17T14:18:02.602676,Network,UDP,3-Tier
XECHK,10.164.144.90,,10.164.71.95,,,HTTPS,3599855,4705921,2025-09-17T14:18:02.602676,Network,HTTPS,Web + API Headless
XECHK,2001:0db8:d8de:8da9:1692:01d0:88ee:d71,,2001:0db8:861f:52ba:e238:daf9:5c5f:ed2,,,TLS,2592151,2850855,2025-09-17T14:18:02.602676,Network,TLS,3-Tier
XECHK,10.164.36.2,,10.164.105.145,,,TCP,257370,769919,2025-09-17T14:18:02.602676,Network,TCP,3-Tier
XECHK,10.165.116.56,,10.164.106.117,,,TLS,2721320,4761519,2025-09-17T14:18:02.602676,Network,TLS,3-Tier
XECHK,2001:0db8:19ac:f41d:509b:1d1f:1aef:2b7f,,2001:0db8:2315:22cb:786c:cebb:5098:4fa8,,,HTTPS,684555,2282764,2025-09-17T14:18:02.602676,Network,HTTPS,Web + API Headless
XECHK,10.164.77.170,,10.164.105.156,,,TLS,4298072,954970,2025-09-17T14:18:02.602676,Network,TLS,3-Tier
XECHK,10.164.173.111,,10.164.105.174,,,HTTPS,2587409,381188,2025-09-17T14:18:02.602676,Network,HTTPS,Web + API Headless
XECHK,2001:0db8:7e45:8686:db5b:cc7e:1c0c:ca5f,,2001:0db8:46d3:fcae:2e8b:181f:68aa:3ef,,,TLS,1151408,2143652,2025-09-17T14:18:02.602676,Network,TLS,3-Tier
XECHK,10.164.127.84,,10.164.105.192,,,UDP,4467824,1930508,2025-09-17T14:18:02.602676,Network,UDP,3-Tier
XECHK,10.165.116.144,,10.164.106.207,,,HTTP,355057,3659475,2025-09-17T14:18:02.602676,Network,HTTP,Web + API Headless
XECHK,2001:0db8:3900:0cce:8cd0:7d62:27dd:eb64,,2001:0db8:347a:2c83:d806:1045:dbcb:a049,,,HTTPS,3504070,2428829,2025-09-17T14:18:02.602676,Network,HTTPS,Web + API Headless
XECHK,10.164.83.104,,10.164.105.44,,,HTTPS,3035640,739487,2025-09-17T14:18:02.602676,Network,HTTPS,Web + API Headless
XECHK,10.164.111.217,,10.164.105.151,,,TCP,2602971,2848243,2025-09-17T14:18:02.603674,Network,TCP,3-Tier
XECHK,2001:0db8:7e45:8686:db5b:cc7e:5615:aa87,,2001:0db8:46d3:fcae:2e8b:181f:3a61:271b,,,HTTPS,1626782,2930972,2025-09-17T14:18:02.603674,Network,HTTPS,Web + API Headless
XECHK,10.164.145.187,,10.164.105.166,,,UDP,1228663,2147417,2025-09-17T14:18:02.603674,Network,UDP,3-Tier
XECHK,10.164.145.45,,10.164.105.195,,,TCP,4145154,3892120,2025-09-17T14:18:02.603674,Network,TCP,3-Tier
XECHK,2001:0db8:d8de:8da9:1692:01d0:a57b:e5d6,,2001:0db8:861f:52ba:e238:daf9:4d4a:a1dc,,,HTTP,3933795,3709710,2025-09-17T14:18:02.603674,Network,HTTP,Web + API Headless
XECHK,10.164.14.204,,10.164.105.91,,,TLS,3791128,315672,2025-09-17T14:18:02.603674,Network,TLS,3-Tier
XECHK,10.164.105.95,,10.164.104.20,,,TCP,4983702,4253793,2025-09-17T14:18:02.603674,Network,TCP,3-Tier
XECHK,2001:0db8:cc48:bf30:e04e:e729:1500:ece8,,2001:0db8:730b:20c8:ad19:0ac5:6060:e643,,,TLS,3990065,4205973,2025-09-17T14:18:02.603674,Network,TLS,3-Tier
XECHK,10.164.26.246,,10.164.105.208,,,TLS,707604,4232663,2025-09-17T14:18:02.603674,Network,TLS,3-Tier
XECHK,10.164.112.11,,10.164.105.254,,,HTTPS,1331859,3052797,2025-09-17T14:18:02.603674,Network,HTTPS,Web + API Headless
XECHK,2001:0db8:2bda:f8d3:236f:4063:c65b:90d7,,2001:0db8:548b:87b5:d8a5:6c70:ad3e:d14a,,,ICMP,439473,2807442,2025-09-17T14:18:02.603674,Network,ICMP,3-Tier
XECHK,10.164.173.85,,10.164.185.99,,,ICMP,1261622,2796643,2025-09-17T14:18:02.603674,Network,ICMP,3-Tier
XECHK,10.164.116.150,,10.164.104.235,,,ICMP,3288181,1081924,2025-09-17T14:18:02.603674,Network,ICMP,3-Tier
XECHK,2001:0db8:19ac:f41d:509b:1d1f:9e81:2b60,,2001:0db8:2315:22cb:786c:cebb:a82e:c0dc,,,UDP,4415907,784140,2025-09-17T14:18:02.603674,Network,UDP,3-Tier
XECHK,10.164.77.131,,10.164.105.93,,,UDP,4079336,1610856,2025-09-17T14:18:02.603674,Network,UDP,3-Tier
XECHK,10.164.75.36,,10.164.105.217,,,HTTPS,4528125,4417067,2025-09-17T14:18:02.603674,Network,HTTPS,Web + API Headless
XECHK,2001:0db8:6ff1:771f:0d96:65ce:4318:ac6c,,2001:0db8:e5fe:8e6f:0353:51be:4efa:c0e1,,,UDP,1388843,3671670,2025-09-17T14:18:02.603674,Network,UDP,3-Tier
XECHK,10.164.105.106,,10.164.113.185,,,HTTPS,3766080,1963158,2025-09-17T14:18:02.603674,Network,HTTPS,Web + API Headless
XECHK,10.164.145.80,,10.164.105.201,,,UDP,4785224,3696198,2025-09-17T14:18:02.603674,Network,UDP,3-Tier
XECHK,2001:0db8:43be:f201:7c6a:f229:c384:9044,,2001:0db8:304b:31a0:dcb2:b566:52f9:d65a,,,UDP,1161171,2097378,2025-09-17T14:18:02.603674,Network,UDP,3-Tier
XECHK,10.164.105.165,,10.164.104.96,,,TCP,4327961,1046072,2025-09-17T14:18:02.603674,Network,TCP,3-Tier
XECHK,10.164.145.22,,10.164.105.70,,,HTTPS,3669985,769549,2025-09-17T14:18:02.603674,Network,HTTPS,Web + API Headless
XECHK,2001:0db8:7e45:8686:db5b:cc7e:b2fc:e6fa,,2001:0db8:46d3:fcae:2e8b:181f:d46d:da7,,,TCP,4211340,3137216,2025-09-17T14:18:02.603674,Network,TCP,3-Tier
XECHK,10.164.145.99,,10.164.81.96,,,TCP,2812819,1225350,2025-09-17T14:18:02.603674,Network,TCP,3-Tier
XECHK,10.164.212.10,,10.164.105.121,,,UDP,3935380,3763341,2025-09-17T14:18:02.603674,Network,UDP,3-Tier
XECHK,2001:0db8:19ac:f41d:509b:1d1f:2890:2b0,,2001:0db8:2315:22cb:786c:cebb:8308:9ba,,,UDP,4603903,4427468,2025-09-17T14:18:02.604674,Network,UDP,3-Tier
XECHK,10.164.77.29,,10.164.105.61,,,TCP,3521951,3834746,2025-09-17T14:18:02.604674,Network,TCP,3-Tier
XECHK,10.164.116.29,,10.164.104.128,,,TCP,4323484,4824047,2025-09-17T14:18:02.604674,Network,TCP,3-Tier
XECHK,2001:0db8:7e45:8686:db5b:cc7e:9521:4982,,2001:0db8:46d3:fcae:2e8b:181f:cd:dbc5,,,HTTPS,2018199,4787274,2025-09-17T14:18:02.604674,Network,HTTPS,Web + API Headless
