application,source_ip,source_hostname,destination_ip,destination_hostname,protocol,port,bytes_in,bytes_out,timestamp,behavior,info,service_category,service_type,business_function,archetype
XECHK,10.164.105.103,,10.100.160.154,,UDP,,1904933,1585920,2025-09-18T14:16:35.534801,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.103,,10.100.160.4,,HTTP,80,553984,2336071,2025-09-18T14:16:35.374209,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.104,,10.164.104.58,,HTTP,80,3951496,785544,2025-09-18T14:16:35.579866,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.106,,10.164.113.185,,HTTPS,443,3766080,1963158,2025-09-18T14:16:35.329191,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.107,,10.164.104.44,,HTTPS,443,1947695,4414172,2025-09-18T14:16:35.610880,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.108,,10.100.160.217,,HTTP,80,3784763,3348423,2025-09-18T14:16:35.549240,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.11,,10.164.133.78,,HTTPS,443,1802553,1817801,2025-09-18T14:16:35.582385,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.111,,10.100.160.96,,UDP,,3107809,3479684,2025-09-18T14:16:35.630706,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.112,,10.100.160.73,,HTTP,80,1279426,4288790,2025-09-18T14:16:35.385057,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.114,,10.164.104.156,,HTTPS,443,4396288,1353521,2025-09-18T14:16:35.628707,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.114,,10.164.104.199,,HTTP,80,2829652,1119757,2025-09-18T14:16:35.602363,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.115,,10.164.97.51,,HTTPS,443,779097,1469018,2025-09-18T14:16:35.411200,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.116,,10.100.160.23,,TCP,,3416604,3024817,2025-09-18T14:16:35.548237,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.117,,10.164.104.46,,HTTPS,443,4886249,3718984,2025-09-18T14:16:35.437571,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.117,,10.164.219.7,,HTTP,80,2166736,4870830,2025-09-18T14:16:35.566064,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.123,,10.100.160.249,,HTTPS,443,3746805,4566592,2025-09-18T14:16:35.560888,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.123,,10.164.104.27,,TCP,,2392898,488544,2025-09-18T14:16:35.572844,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.13,,10.100.160.168,,UDP,,1262871,4443115,2025-09-18T14:16:35.526685,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.131,,10.100.160.108,,HTTP,80,3357231,1280660,2025-09-18T14:16:35.494850,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.133,,10.164.91.36,,HTTP,80,1433187,1978423,2025-09-18T14:16:35.604369,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.135,,10.100.160.47,,TCP,,4178656,791289,2025-09-18T14:16:35.363955,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.135,,10.164.104.203,,UDP,,750759,1738777,2025-09-18T14:16:35.419616,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.139,,10.100.160.53,,HTTP,80,4395288,2871526,2025-09-18T14:16:35.423281,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.14,,10.100.160.115,,HTTP,80,4454169,1114143,2025-09-18T14:16:35.516685,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.14,,10.100.160.14,,HTTP,80,3037888,235727,2025-09-18T14:16:35.572844,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.143,,10.164.104.136,,HTTPS,443,3457720,2533715,2025-09-18T14:16:35.576354,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.143,,10.164.104.198,,UDP,,4545631,2422864,2025-09-18T14:16:35.439577,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.145,,10.164.104.135,,HTTP,80,2708043,3221993,2025-09-18T14:16:35.403284,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.146,,10.100.160.75,,HTTPS,443,1403653,1229826,2025-09-18T14:16:35.398148,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.147,,10.100.231.203,,HTTP,80,839794,2482491,2025-09-18T14:16:35.565065,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.152,,10.164.104.217,,HTTP,80,3062241,1059742,2025-09-18T14:16:35.379219,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.153,,10.100.160.230,,UDP,,3367835,4611918,2025-09-18T14:16:35.595465,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.154,,10.100.160.148,,HTTP,80,2064898,2885624,2025-09-18T14:16:35.473082,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.156,,10.100.160.245,,HTTPS,443,3497094,95895,2025-09-18T14:16:35.559889,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.157,,10.164.106.234,,HTTP,80,1765306,4978712,2025-09-18T14:16:35.446577,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.16,,10.164.104.137,,UDP,,3658872,2047570,2025-09-18T14:16:35.481466,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.165,,10.100.160.126,,UDP,,4898041,1314881,2025-09-18T14:16:35.570065,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.165,,10.100.182.159,,TCP,,2514016,1151258,2025-09-18T14:16:35.504411,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.165,,10.164.104.108,,TCP,,2049413,47332,2025-09-18T14:16:35.467085,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.165,,10.164.104.96,,TCP,,4327961,1046072,2025-09-18T14:16:35.330191,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.166,,10.100.160.213,,HTTP,80,2156656,2874483,2025-09-18T14:16:35.571837,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.167,,10.100.22.187,,TCP,,4815285,3250375,2025-09-18T14:16:35.414712,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.167,,10.164.104.109,,UDP,,289670,3031962,2025-09-18T14:16:35.376719,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.167,,10.164.236.100,,TCP,,451648,3009218,2025-09-18T14:16:35.635539,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.168,,10.100.193.175,,UDP,,517102,526861,2025-09-18T14:16:35.418616,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.169,,10.100.160.112,,TCP,,1605632,3712176,2025-09-18T14:16:35.581375,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.17,,10.100.160.101,,TCP,,2309055,1433941,2025-09-18T14:16:35.534801,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.17,,10.164.104.116,,HTTPS,443,3944220,4462138,2025-09-18T14:16:35.357955,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.170,,10.164.104.235,,HTTP,80,4534948,2285377,2025-09-18T14:16:35.348063,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.172,,10.164.104.72,,HTTP,80,2709391,2176960,2025-09-18T14:16:35.518409,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.176,,10.164.104.211,,HTTPS,443,1769361,170360,2025-09-18T14:16:35.625575,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.178,,10.100.160.186,,HTTP,80,3078979,1430877,2025-09-18T14:16:35.572844,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.178,,10.164.218.72,,HTTP,80,3508515,1436340,2025-09-18T14:16:35.356955,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.179,,10.164.104.33,,UDP,,959692,967225,2025-09-18T14:16:35.416725,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.184,,10.100.160.229,,HTTPS,443,154340,2085981,2025-09-18T14:16:35.511175,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.186,,10.164.104.69,,TCP,,3129366,853991,2025-09-18T14:16:35.528686,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.189,,10.100.160.152,,UDP,,3398157,2421282,2025-09-18T14:16:35.522688,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.189,,10.100.197.150,,HTTP,80,2429218,185185,2025-09-18T14:16:35.576354,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.189,,10.164.104.153,,HTTP,80,2843945,2888078,2025-09-18T14:16:35.500413,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.19,,10.164.104.91,,HTTP,80,3773007,3655033,2025-09-18T14:16:35.403284,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.190,,10.100.160.249,,HTTPS,443,3599605,1023099,2025-09-18T14:16:35.610880,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.190,,10.164.101.125,,UDP,,2011021,4707499,2025-09-18T14:16:35.626575,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.192,,10.100.160.250,,UDP,,2596824,2552071,2025-09-18T14:16:35.581375,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.192,,10.164.104.99,,UDP,,120339,1199388,2025-09-18T14:16:35.412705,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.194,,10.164.104.37,,UDP,,2034127,3282144,2025-09-18T14:16:35.412705,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.196,,10.100.63.240,,TCP,,1196714,113420,2025-09-18T14:16:35.387633,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.196,,10.164.104.111,,HTTPS,443,4684307,4051628,2025-09-18T14:16:35.511175,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.196,,10.164.104.57,,HTTP,80,1457402,1477436,2025-09-18T14:16:35.339551,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.198,,10.100.160.131,,HTTP,80,1829168,4214480,2025-09-18T14:16:35.506410,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.198,,10.100.160.253,,HTTP,80,1223414,3695075,2025-09-18T14:16:35.351063,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.200,,10.164.104.175,,TCP,,3525378,302582,2025-09-18T14:16:35.591956,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.202,,10.164.137.82,,HTTP,80,326842,894209,2025-09-18T14:16:35.428399,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.203,,10.164.104.180,,HTTPS,443,713080,917657,2025-09-18T14:16:35.335382,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.205,,10.164.105.109,,HTTP,80,1472684,1859650,2025-09-18T14:16:35.596480,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.207,,10.100.160.184,,HTTPS,443,1075647,4894607,2025-09-18T14:16:35.448084,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.207,,10.100.160.203,,UDP,,3769417,3344220,2025-09-18T14:16:35.449443,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.210,,10.164.146.141,,TCP,,4070941,3560942,2025-09-18T14:16:35.435063,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.211,,10.164.104.224,,HTTPS,443,1495805,4267867,2025-09-18T14:16:35.416219,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.211,,10.164.118.52,,TCP,,3608878,4980084,2025-09-18T14:16:35.463075,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.212,,10.164.104.228,,TCP,,2783559,2447773,2025-09-18T14:16:35.531801,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.214,,10.164.104.200,,UDP,,1334285,3939682,2025-09-18T14:16:35.610880,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.214,,10.164.104.42,,TCP,,4033244,4058984,2025-09-18T14:16:35.412705,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.216,,10.164.104.134,,HTTPS,443,3983315,4804475,2025-09-18T14:16:35.340555,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.217,,10.164.104.123,,UDP,,3200369,373396,2025-09-18T14:16:35.454449,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.218,,10.164.167.139,,UDP,,4567489,2077000,2025-09-18T14:16:35.615399,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.219,,10.100.120.100,,UDP,,3306414,1277356,2025-09-18T14:16:35.625575,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.22,,10.100.160.35,,UDP,,2182549,3180353,2025-09-18T14:16:35.324187,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.22,,10.164.18.109,,HTTPS,443,1615228,4713323,2025-09-18T14:16:35.567062,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.224,,10.164.104.171,,HTTPS,443,3784006,1777063,2025-09-18T14:16:35.607883,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.225,,10.100.168.227,,HTTP,80,1299287,2904045,2025-09-18T14:16:35.572844,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.226,,10.100.237.2,,TCP,,4980772,2380312,2025-09-18T14:16:35.356955,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.23,,10.100.160.127,,HTTPS,443,1446694,2514934,2025-09-18T14:16:35.505410,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.23,,10.164.104.167,,HTTPS,443,1350076,2196484,2025-09-18T14:16:35.461966,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.231,,10.164.100.160,,UDP,,1493216,4208806,2025-09-18T14:16:35.609880,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.232,,10.100.160.235,,TCP,,757660,1885920,2025-09-18T14:16:35.459958,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.234,,10.100.160.11,,HTTPS,443,917110,370400,2025-09-18T14:16:35.563891,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.237,,10.164.105.201,,TCP,,709277,2251954,2025-09-18T14:16:35.561888,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.240,,10.100.200.14,,TCP,,402881,2552770,2025-09-18T14:16:35.397149,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.240,,10.164.104.253,,TCP,,3430024,1509992,2025-09-18T14:16:35.333382,Network,TCP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.241,,10.100.160.17,,UDP,,2870539,3439602,2025-09-18T14:16:35.460966,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.243,,10.100.180.236,,UDP,,2641461,971971,2025-09-18T14:16:35.565065,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.243,,10.164.53.148,,HTTPS,443,254256,4178046,2025-09-18T14:16:35.331694,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.244,,10.164.77.130,,HTTP,80,3289641,3165102,2025-09-18T14:16:35.614396,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.246,,10.100.160.23,,HTTPS,443,2035659,4868297,2025-09-18T14:16:35.399148,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.246,,10.100.160.34,,HTTP,80,3213687,4478306,2025-09-18T14:16:35.530802,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.249,,10.100.160.52,,UDP,,4889857,1873706,2025-09-18T14:16:35.624574,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.25,,10.100.110.185,,HTTP,80,4055146,1109463,2025-09-18T14:16:35.560888,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.25,,10.164.104.220,,HTTP,80,4399491,3362808,2025-09-18T14:16:35.583386,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.250,,10.100.180.198,,HTTP,80,3107512,3894995,2025-09-18T14:16:35.357955,Network,HTTP:80,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.252,,10.164.104.175,,UDP,,4438788,105715,2025-09-18T14:16:35.414712,Network,UDP,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
XECHK,10.164.105.254,,10.100.160.183,,HTTPS,443,4065986,2886167,2025-09-18T14:16:35.339551,Network,HTTPS:443,INFRASTRUCTURE,load_balancer,Load balancers and traffic distributors,3-Tier
